year,city,country,avg_temp
1956,Detroit,United States,8.80
1957,Detroit,United States,8.86
1958,Detroit,United States,8.37
1959,Detroit,United States,9.14
1960,Detroit,United States,8.51
1961,Detroit,United States,9.04
1962,Detroit,United States,8.47
1963,Detroit,United States,8.24
1964,Detroit,United States,9.27
1965,Detroit,United States,8.52
1966,Detroit,United States,8.52
1967,Detroit,United States,8.37
1968,Detroit,United States,8.91
1969,Detroit,United States,8.67
1970,Detroit,United States,8.87
1971,Detroit,United States,9.23
1972,Detroit,United States,7.98
1973,Detroit,United States,9.92
1974,Detroit,United States,8.72
1975,Detroit,United States,9.34
1976,Detroit,United States,8.20
1977,Detroit,United States,8.83
1978,Detroit,United States,7.89
1979,Detroit,United States,8.16
1980,Detroit,United States,8.18
1981,Detroit,United States,8.69
1982,Detroit,United States,8.62
1983,Detroit,United States,9.25
1984,Detroit,United States,8.98
1985,Detroit,United States,8.92
1986,Detroit,United States,9.23
1987,Detroit,United States,10.19
1988,Detroit,United States,9.25
1989,Detroit,United States,8.33
1990,Detroit,United States,10.02
1991,Detroit,United States,10.26
1992,Detroit,United States,8.61
1993,Detroit,United States,8.67
1994,Detroit,United States,8.93
1995,Detroit,United States,9.06
1996,Detroit,United States,8.42
1997,Detroit,United States,8.75
1998,Detroit,United States,11.29
1999,Detroit,United States,10.15
2000,Detroit,United States,9.34
2001,Detroit,United States,10.29
2002,Detroit,United States,10.01
2003,Detroit,United States,8.73
2004,Detroit,United States,9.26
2005,Detroit,United States,9.73
2006,Detroit,United States,10.43
2007,Detroit,United States,9.84
2008,Detroit,United States,9.06
2009,Detroit,United States,8.88
2010,Detroit,United States,10.26
2011,Detroit,United States,9.79
2012,Detroit,United States,11.17
2013,Detroit,United States,10.90
